"peak","3h-Mon-Rep1","3h-Mon-Rep2","3h-Mon-Rep3","6h-Mon-Rep1","6h-Mon-Rep2","6h-Mon-Rep3","12h-Mon-Rep1","12h-Mon-Rep2","12h-Mon-Rep3"
"chr8_129587131_129587322",86,240,178,87,143,184,147,42,300
"chr8_129591757_129592439",239,804,718,328,357,613,427,115,924
"chr8_129635857_129636582",147,498,292,173,339,263,235,59,386
"chr8_129666246_129666817",259,1099,1052,502,644,1067,862,247,1752
"chr8_129681893_129682464",219,648,511,269,374,398,346,101,598
"chr8_129939569_129940341",26,80,61,28,54,49,59,13,66
"chr8_129995030_129995560",5,39,26,10,21,34,24,2,44
"chr8_130008654_130009239",8,27,28,15,17,20,16,6,40
"chr8_130045619_130046247",12,42,31,10,15,40,29,8,49
"chr8_130248437_130249011",3,24,12,7,12,17,9,8,27
"chr8_130358332_130359078",3,27,19,13,15,18,18,4,24
"chr8_130411461_130411976",9,20,20,9,13,11,5,2,27
"chr8_131317361_131317898",3,12,27,6,12,21,21,6,27
"chr8_131816142_131817158",14,73,71,25,37,47,38,14,78
"chr8_131903697_131904371",14,46,32,16,23,17,5,2,39
"chr8_132325889_132326427",6,44,22,16,10,16,11,4,30
"chr8_132774875_132775640",12,39,20,10,17,28,19,4,33
"chr8_132895346_132896165",15,49,30,12,16,27,25,19,60
"chr8_133074763_133075308",9,25,19,9,10,14,13,3,39
"chr8_133081437_133082115",12,32,24,15,13,25,21,6,43
"chr8_133130746_133131276",6,20,13,10,5,23,15,7,19
"chr8_133150097_133150907",13,44,29,18,17,40,25,5,46
"chr8_133216402_133217024",7,16,10,6,7,22,16,7,27
"chr8_133245651_133246427",22,75,60,35,33,76,48,11,97
"chr8_133296950_133297954",26,130,109,44,66,95,50,27,115
"chr8_133499143_133499785",8,26,19,14,13,19,11,6,31
"chr8_133505154_133505761",11,24,25,12,9,17,13,3,29
"chr8_133526500_133527142",7,30,28,24,24,36,28,7,58
"chr8_133538687_133539238",8,22,10,8,7,19,9,7,32
"chr8_133571692_133572486",5,37,43,34,24,36,24,4,44
"chr8_133645069_133645614",3,14,5,7,12,11,15,6,21
"chr8_133693948_133694709",10,22,13,13,7,14,17,3,31
"chr8_133899158_133899748",2,20,11,11,14,13,9,8,23
"chr8_134226312_134226811",7,11,10,5,5,11,12,4,17
"chr8_134598340_134599034",8,24,26,11,14,15,10,4,25
"chr8_134683188_134683851",15,32,15,15,6,18,7,7,37
"chr8_134712252_134713791",34,125,100,48,55,88,49,14,119
"chr8_134719969_134720874",19,56,58,28,27,54,39,17,85
"chr8_134832051_134832791",20,97,82,45,42,77,56,16,136
"chr8_135567747_135568695",11,41,31,16,23,24,16,4,27
"chr8_137982892_137983490",9,37,22,13,16,16,22,13,43
"chr8_138191791_138192581",26,111,75,40,48,74,60,17,88
"chr8_140457572_140458392",10,38,27,18,25,20,17,3,36
"chr8_140464174_140465051",31,88,74,52,86,70,50,18,93
"chr8_140510971_140512326",23,112,74,44,78,70,40,24,103
"chr8_140596787_140597473",9,22,17,14,12,18,12,7,21
"chr8_140598384_140599152",11,23,19,13,12,13,9,1,19
"chr8_141119341_141120087",8,47,14,13,14,23,16,8,39
"chr8_141127967_141128791",15,47,28,23,23,38,11,6,36
"chr8_141137589_141138499",5,29,25,7,13,31,18,8,31
"chr8_141208648_141209240",9,43,28,18,17,20,18,5,34
"chr8_141327122_141327748",7,27,26,17,8,19,15,6,33
"chr8_142340001_142340620",9,24,14,12,9,9,2,3,16
"chr8_143290972_143291796",6,29,18,9,12,15,8,2,14
"chr8_143334296_143335056",11,26,21,14,17,19,9,2,18
"chr8_143368366_143369052",10,52,39,28,39,29,27,10,42
"chr8_143541261_143541785",10,26,22,7,16,22,19,5,22
"chr8_143597222_143597957",10,23,23,11,19,12,12,2,27
"chr8_143609466_143610203",1,29,20,13,9,18,14,9,25
"chr8_143829042_143829725",11,47,41,24,32,38,31,11,41
"chr8_143928219_143928967",14,58,67,20,38,38,31,14,44
"chr8_144078177_144078916",12,50,69,31,57,47,36,15,59
"chr8_144094523_144095174",8,20,11,10,16,24,12,5,32
"chr8_144103949_144104834",20,92,51,33,42,40,34,10,58
"chr8_144147468_144148339",16,76,46,16,50,59,30,12,63
"chr8_144326528_144327176",12,48,29,24,25,34,9,3,29
"chr8_144373476_144374307",12,51,26,14,23,30,21,7,28
"chr8_144428050_144428957",5,32,31,13,20,21,12,7,18
"chr8_144465004_144466060",11,25,42,18,32,33,24,7,42
"chr8_144508496_144509245",19,56,47,13,44,36,20,7,42
"chr8_144521987_144522846",12,35,33,24,35,24,21,6,24
"chr8_144786681_144787689",14,62,36,20,21,34,27,10,35
"chr8_144792112_144792667",10,36,25,11,28,24,11,7,27
"chr8_144827035_144827735",7,65,41,34,48,46,35,12,60
"chr8_144901248_144901943",8,31,34,11,26,28,12,3,39
"chr8_145051802_145052745",10,30,24,7,20,23,14,8,28
"chr9_214572_215458",12,79,44,17,30,42,16,10,37
"chr9_257707_258501",5,27,18,13,13,21,7,3,33
"chr9_296950_297935",18,49,36,25,22,43,31,6,47
"chr9_469845_470552",10,38,40,10,27,22,29,9,33
"chr9_613627_614248",12,52,34,9,15,32,21,2,38
"chr9_763922_764525",7,33,34,13,11,35,12,8,37
"chr9_2014791_2015594",22,131,94,55,46,74,50,24,116
"chr9_2024884_2025564",10,25,31,13,12,14,12,8,27
"chr9_2570447_2571192",9,27,33,13,16,26,18,8,41
"chr9_2621160_2621723",9,26,20,10,9,21,14,2,31
"chr9_2621881_2622607",11,29,13,8,9,14,10,4,23
"chr9_2657282_2657911",11,64,39,29,20,30,33,8,60
"chr9_2704384_2704990",4,29,18,13,16,20,16,6,30
"chr9_2727839_2728501",9,44,27,21,17,24,16,8,49
"chr9_2764256_2764913",11,30,15,17,12,25,11,5,20
"chr9_2843812_2844474",17,85,60,26,36,51,31,13,83
"chr9_3012768_3013322",12,34,14,1,10,12,15,2,25
"chr9_3434523_3435022",3,3,4,4,7,8,6,4,10
"chr9_3525636_3526971",23,67,55,25,38,43,25,8,51
"chr9_3576296_3576839",8,33,27,8,12,25,22,7,30
"chr9_3736035_3736553",9,28,17,9,5,16,10,5,32
"chr9_4679239_4679882",12,43,49,21,35,34,23,8,47
"chr9_4740805_4741545",11,28,22,10,8,16,5,6,19
"chr9_4792396_4793173",33,102,80,34,44,74,40,13,105
"chr9_4938923_4939528",7,36,33,13,12,32,15,7,44
"chr9_4984346_4985615",29,115,81,28,61,67,33,17,87
"chr9_5303833_5304549",6,26,7,10,12,10,8,5,10
"chr9_5437618_5438233",18,48,23,15,18,31,21,6,48
"chr9_5558109_5558772",15,71,45,36,21,61,41,17,80
"chr9_5626940_5627675",14,31,35,10,17,27,22,7,40
"chr9_5628465_5629257",18,60,43,25,32,30,20,7,42
"chr9_5832496_5833444",20,53,33,13,25,42,12,8,44
"chr9_5851308_5851899",10,27,23,9,16,20,9,10,43
"chr9_6006742_6008863",23,122,83,46,50,73,52,15,110
"chr9_6015396_6015920",7,31,28,11,15,15,9,3,30
"chr9_6080027_6080547",3,9,5,7,5,19,7,5,23
"chr9_6106904_6107443",5,24,13,12,14,17,7,4,24
"chr9_6412404_6413391",26,120,106,43,42,71,47,19,97
"chr9_6680681_6681918",44,146,94,54,55,108,57,20,149
"chr9_6703793_6704590",15,42,29,20,15,29,18,3,32
"chr9_6757124_6758216",32,117,102,41,51,101,50,17,97
"chr9_6889770_6890381",9,28,23,8,7,20,8,6,41
"chr9_7011592_7012187",18,70,42,18,13,49,37,14,52
"chr9_7104980_7105558",6,23,28,12,15,26,17,6,47
"chr9_7120985_7121656",6,13,17,9,12,12,4,2,19
"chr9_7149991_7150582",16,50,46,15,24,43,26,12,48
"chr9_7799165_7800084",15,49,44,13,11,48,24,9,56
"chr9_7966998_7967915",31,107,90,35,37,70,45,9,123
"chr9_7976249_7977313",44,123,107,57,47,107,69,20,119
"chr9_8648986_8649690",8,37,40,14,13,17,25,7,32
"chr9_8653656_8654289",14,77,78,20,34,53,45,10,86
"chr9_8660311_8660986",23,84,69,29,38,50,36,16,66
"chr9_9606484_9606983",6,19,18,7,9,11,8,4,13
"chr9_10366090_10366627",8,18,29,5,11,20,28,6,27
"chr9_10773301_10773904",7,36,30,10,16,16,14,6,28
"chr9_11704052_11704631",6,35,41,11,14,36,27,5,49
"chr9_12689434_12689563",3,5,7,5,5,7,4,3,5
"chr9_12776101_12776743",10,29,33,7,17,43,16,3,33
"chr9_14322380_14322933",7,42,25,8,14,22,12,6,24
"chr9_14693130_14693803",10,22,17,5,9,22,7,2,21
"chr9_15422443_15423040",26,97,80,31,38,65,35,14,101
"chr9_15510750_15511481",9,52,41,20,22,28,18,5,43
"chr9_15552657_15553505",13,42,31,12,17,23,15,3,37
"chr9_16289297_16290038",9,36,19,10,16,30,14,2,28
"chr9_16884787_16885546",13,62,33,20,25,52,25,11,76
"chr9_18056519_18057080",8,28,23,9,11,18,11,6,29
"chr9_18947887_18948485",13,55,60,22,20,55,33,14,58
"chr9_19048874_19049696",12,60,38,18,26,38,15,7,39
"chr9_19154009_19154684",10,28,25,13,11,26,10,9,37
"chr9_19161499_19162171",6,33,34,13,14,28,15,6,32
"chr9_20621861_20622870",3,14,25,22,19,28,18,7,28
"chr9_20683747_20684869",13,60,53,20,33,34,16,9,52
"chr9_21334946_21335596",7,34,21,10,13,27,13,4,24
"chr9_21744790_21745410",6,18,15,7,2,16,9,6,29
"chr9_21883635_21884189",7,28,28,17,15,27,18,10,49
"chr9_21964786_21965423",3,17,14,9,12,15,8,1,17
"chr9_21974687_21975390",10,49,51,26,21,31,30,10,52
"chr9_22008933_22009660",2,28,21,16,10,19,17,2,29
"chr9_22029906_22030502",6,24,23,12,14,26,16,8,41
"chr9_22158848_22159462",6,36,31,16,12,30,18,9,40
"chr9_23581829_23582409",17,37,36,10,9,26,26,8,46
"chr9_26892168_26893115",17,72,55,19,27,69,20,8,66
"chr9_26946906_26947604",17,59,50,17,26,63,28,10,66
"chr9_26956070_26956736",13,39,36,17,13,33,18,11,56
"chr9_27572599_27574118",41,134,114,32,52,96,52,18,111
"chr9_27701554_27702137",7,41,43,7,10,14,14,7,27
"chr9_29290415_29290944",11,28,31,6,14,26,15,5,27
"chr9_29773585_29774152",9,20,24,11,17,20,14,2,22
"chr9_30301187_30301864",20,50,52,11,22,39,28,11,42
"chr9_31210914_31211469",5,44,44,18,28,36,27,7,39
"chr9_31542321_31542917",7,38,36,25,21,44,29,10,64
"chr9_32256108_32256826",9,37,32,9,13,27,15,4,20
"chr9_32384312_32385066",5,36,29,14,17,31,16,4,33
"chr9_32525947_32526896",15,43,22,10,17,30,14,3,42
"chr9_32550664_32551308",10,32,16,14,23,36,17,1,43
"chr9_32552049_32552885",19,60,66,22,21,59,31,5,59
"chr9_32572805_32573493",10,45,30,24,11,40,22,6,53
"chr9_32728144_32728708",7,19,24,12,14,21,15,1,28
"chr9_33001299_33001918",9,52,37,16,21,41,31,5,32
"chr9_33024824_33025577",17,60,68,29,36,57,34,17,83
"chr9_33076361_33077045",15,65,33,28,26,37,24,12,55
"chr9_33166763_33167867",23,75,54,26,22,62,33,12,68
"chr9_33226859_33227418",13,31,31,8,11,24,11,4,27
"chr9_33264448_33265206",17,56,66,27,36,63,37,9,61
"chr9_33290035_33290754",24,105,96,53,70,85,60,14,85
"chr9_33297362_33297898",20,33,19,16,16,32,20,6,46
"chr9_33473684_33474325",23,65,55,37,34,58,33,12,75
"chr9_33816242_33817225",12,65,31,21,23,32,25,10,26
"chr9_34048634_34049699",35,110,97,44,54,63,44,13,76
"chr9_34178729_34179344",5,28,24,20,24,31,17,4,36
"chr9_34329076_34329699",19,85,78,37,61,80,51,20,97
"chr9_34376730_34377510",12,42,35,21,26,46,29,2,39
"chr9_34458253_34458896",9,41,54,26,25,34,23,6,30
"chr9_34637141_34638217",17,42,33,13,16,26,12,11,29
"chr9_34664996_34665755",7,31,21,10,17,14,14,7,22
"chr9_34989230_34989889",11,49,41,24,22,28,25,7,43
"chr9_35071834_35073028",23,97,62,35,59,54,41,17,75
"chr9_35079539_35080259",16,40,33,26,10,22,17,4,34
"chr9_35095960_35096896",12,41,17,10,17,27,10,3,22
"chr9_35102901_35103548",11,32,21,13,19,12,11,3,24
"chr9_35111444_35111959",5,21,24,15,23,34,26,5,34
"chr9_35115693_35116571",10,49,42,24,31,32,25,3,37
"chr9_35161570_35162507",11,49,32,17,26,19,18,7,28
"chr9_35603809_35604579",19,69,52,29,36,56,31,12,55
"chr9_35646641_35647238",8,19,17,9,11,10,9,7,12
"chr9_35657571_35658594",20,84,79,38,76,59,50,21,71
"chr9_35732054_35732785",26,89,69,45,39,75,46,11,79
"chr9_35811947_35812465",10,31,25,11,7,19,6,9,26
"chr9_35814786_35815677",25,67,38,33,29,41,35,6,66
"chr9_36151391_36152344",15,23,16,17,17,13,18,7,19
"chr9_36190478_36191135",13,56,46,26,28,38,27,7,49
"chr9_36257636_36258863",16,48,33,20,31,46,24,10,38
"chr9_36400278_36401389",17,69,52,28,50,47,24,9,60
"chr9_36765863_36766381",11,33,21,9,5,14,11,2,24
"chr9_37027529_37028061",7,24,18,13,12,21,20,4,23
"chr9_37079325_37080174",14,56,37,29,35,37,29,8,44
"chr9_37120005_37121198",16,98,59,22,52,48,37,11,70
"chr9_37422311_37423127",17,41,26,17,20,36,18,8,40
"chr9_37432832_37433331",8,28,9,6,4,14,3,2,17
"chr9_37465162_37466180",36,117,117,43,54,93,52,22,135
"chr9_37485545_37486219",15,44,36,24,25,37,16,7,50
"chr9_37903854_37904590",6,43,32,11,19,33,17,2,34
"chr9_37908511_37909160",6,25,13,8,11,20,10,4,24
"chr9_37994477_37995388",13,25,25,13,16,20,15,7,40
"chr9_38392393_38393047",13,34,22,18,15,31,8,3,26
"chr9_38620343_38620918",9,20,29,10,4,13,16,4,26
"chr9_38621480_38622637",8,45,18,16,23,30,8,4,18
"chr9_38672311_38672875",4,30,23,12,13,18,16,7,32
"chr9_38949415_38950184",9,38,43,17,18,36,29,6,38
"chr9_39464089_39464856",15,43,42,22,17,25,17,10,52
"chr9_40991929_40992524",16,36,54,10,17,35,31,5,44
"chr9_62802388_62802947",14,48,27,16,16,30,13,5,53
"chr9_62915551_62916050",10,16,18,1,8,13,7,1,25
"chr9_63822616_63823493",12,25,22,5,9,12,5,2,8
"chr9_66900368_66901051",10,47,43,14,25,37,30,10,47
"chr9_67413820_67414464",13,38,21,13,11,26,22,11,25
"chr9_68704870_68705945",10,48,24,11,19,33,12,8,43
"chr9_68779657_68780607",19,74,47,28,45,49,42,12,62
"chr9_68952075_68952680",8,17,20,9,13,18,15,4,22
"chr9_69035501_69036194",9,35,27,12,13,14,5,4,29
"chr9_69173884_69174717",16,32,19,10,4,11,3,1,12
"chr9_69759303_69760402",17,74,48,33,26,40,27,4,55
"chr9_69805720_69806268",12,23,12,10,5,9,6,2,14
"chr9_70258200_70259282",19,81,64,25,36,56,29,11,70
"chr9_70398084_70398619",2,34,32,15,9,22,14,3,37
"chr9_70413253_70414375",12,49,43,21,21,36,20,7,49
"chr9_70418707_70420628",58,211,160,66,83,119,76,32,181
"chr9_70563212_70564393",16,82,54,30,20,50,27,10,69
"chr9_70580567_70581074",8,36,15,8,9,20,10,8,29
"chr9_71647160_71647763",11,30,18,9,11,20,16,4,34
"chr9_71768312_71769112",16,74,50,28,30,50,43,6,70
"chr9_71910913_71911633",50,207,189,65,87,160,114,35,207
"chr9_72304988_72305692",14,41,42,21,20,62,32,11,75
"chr9_72364867_72366008",15,93,85,34,43,72,34,10,94
"chr9_72464668_72465379",7,27,21,12,21,21,18,6,29
"chr9_72527214_72527914",13,32,21,16,15,31,15,3,31
"chr9_72586595_72587239",7,43,39,13,14,41,22,7,64
"chr9_72734606_72735145",11,25,26,6,15,19,27,2,43
"chr9_72925228_72925932",10,39,45,14,19,46,35,10,69
"chr9_73131978_73132744",10,59,56,16,18,54,21,10,69
"chr9_73143847_73144428",4,18,14,13,10,14,13,5,25
"chr9_73154691_73155222",8,24,10,5,3,7,9,9,22
"chr9_73202855_73203542",8,38,27,16,18,29,25,9,50
"chr9_73220205_73220838",18,60,61,16,33,52,52,22,85
"chr9_73230095_73230703",5,46,36,13,18,32,29,9,52
"chr9_73237070_73237644",11,30,28,10,19,26,23,9,40
"chr9_73270751_73271533",12,56,55,19,26,39,31,12,68
"chr9_73869174_73869761",8,35,28,11,19,32,34,10,45
"chr9_74886916_74887623",9,54,16,12,15,28,15,6,40
"chr9_74952084_74953174",41,122,110,41,46,77,59,16,110
"chr9_75027753_75028812",38,202,149,49,109,140,62,17,197
"chr9_75088046_75088709",18,70,51,31,20,53,31,10,81
"chr9_75142047_75142628",7,34,20,8,10,29,20,3,42
"chr9_75149880_75150403",4,10,17,10,9,12,13,1,21
"chr9_75604513_75605120",8,45,32,17,11,24,12,7,28
"chr9_75890049_75890810",7,27,28,14,14,10,14,5,28
"chr9_76166451_76167128",7,30,20,11,3,16,13,9,33
"chr9_76203256_76203789",8,22,18,4,8,9,2,0,16
"chr9_76394062_76395338",32,77,66,35,38,59,48,8,82
"chr9_76456208_76456711",11,28,22,5,8,24,8,5,34
"chr9_76458752_76459545",13,44,46,26,32,32,26,8,33
"chr9_77176951_77177808",15,65,61,37,43,57,26,18,64
"chr9_77709474_77710039",8,30,23,13,18,28,27,4,45
"chr9_77864462_77865018",6,36,22,16,10,23,13,4,43
"chr9_77909164_77909814",16,38,30,14,12,33,17,6,54
"chr9_77977297_77977833",5,17,10,9,13,18,5,2,22
"chr9_78022991_78023568",10,30,11,9,11,22,15,1,26
"chr9_78103785_78104598",16,56,43,26,27,41,30,6,81
"chr9_78118865_78119436",7,19,30,12,15,22,8,4,33
"chr9_78235746_78236733",11,49,48,29,23,53,25,10,61
"chr9_78296700_78297619",22,96,99,39,43,71,49,17,122
"chr9_79264763_79265319",12,44,46,16,21,45,30,4,72
"chr9_79571301_79571977",68,271,275,109,142,206,168,59,270
"chr9_79583777_79584376",18,71,51,16,37,61,47,20,108
"chr9_79592988_79593597",8,18,21,9,12,16,9,2,23
"chr9_79611206_79611744",8,37,22,14,12,21,21,10,47
"chr9_79623647_79624752",24,99,82,29,39,67,53,23,98
"chr9_79651017_79651824",14,50,40,19,30,42,39,7,75
"chr9_79701533_79702130",12,25,37,15,8,17,19,8,41
"chr9_79868656_79869245",16,55,48,17,22,32,40,9,66
"chr9_79878134_79878705",11,38,45,18,22,36,24,12,52
"chr9_80168961_80169106",1,8,10,6,7,6,5,1,6
"chr9_80303756_80304255",3,9,5,3,9,5,7,5,9
"chr9_80664231_80664861",6,21,23,5,17,15,19,8,23
"chr9_80794042_80794666",3,25,26,13,18,34,18,8,48
"chr9_81113224_81113898",31,101,164,24,45,119,66,21,138
"chr9_81132228_81132816",9,42,26,6,10,21,13,11,40
"chr9_81689125_81690237",12,73,60,12,39,53,28,10,57
"chr9_82247239_82247803",19,69,68,13,22,57,45,15,90
"chr9_82961468_82961967",6,15,15,3,12,13,7,4,21
"chr9_83239030_83239826",8,31,36,11,12,34,24,8,43
"chr9_83281063_83281654",14,23,28,15,13,19,16,2,46
"chr9_83538123_83539082",17,61,48,20,21,46,34,9,76
"chr9_83707495_83708941",19,100,61,52,45,60,45,10,65
"chr9_83920767_83921761",8,57,36,25,19,40,26,13,47
"chr9_83979969_83980920",29,84,78,37,55,62,39,14,85
"chr9_84371656_84372242",5,28,27,15,11,23,8,7,30
"chr9_85740778_85741383",7,20,19,13,12,24,17,7,30
"chr9_85741507_85742427",10,68,39,23,30,31,11,7,59
"chr9_85940619_85941399",25,97,95,29,66,83,71,19,102
"chr9_86281867_86283015",11,44,42,26,26,37,24,7,48
"chr9_86354023_86354765",15,54,45,14,20,27,28,11,51
"chr9_87792761_87793711",8,43,22,17,15,25,18,4,26
"chr9_87974116_87974790",7,33,26,22,18,17,16,2,32
"chr9_88387836_88388756",4,30,18,18,24,25,10,4,26
"chr9_88781503_88782250",3,21,14,11,11,13,9,0,16
"chr9_88923520_88924162",12,32,22,22,17,13,24,4,34
"chr9_89310595_89311322",30,108,95,46,72,63,69,20,112
"chr9_89318212_89319034",28,85,68,35,52,50,29,13,63
"chr9_89440403_89441030",5,23,13,9,9,16,3,3,31
"chr9_89522158_89522961",11,30,17,13,12,16,12,2,29
"chr9_92115154_92115781",2,23,26,13,20,22,14,6,33
"chr9_92293486_92294072",11,47,31,22,21,38,22,7,43
"chr9_92325338_92326373",12,68,40,24,27,25,18,9,25
"chr9_92669962_92670576",7,50,43,9,36,35,24,4,48
"chr9_92764691_92765683",19,69,84,24,30,57,26,9,75
"chr9_93095250_93096368",24,113,87,46,73,74,61,17,89
"chr9_93119763_93120755",21,66,45,38,23,51,25,10,36
"chr9_93566231_93567039",12,39,29,10,18,30,13,6,37
"chr9_94165794_94166446",19,86,64,32,45,55,41,13,82
"chr9_94166513_94167113",13,39,47,15,35,36,21,6,52
"chr9_94258960_94259489",3,11,10,5,6,7,8,5,16
"chr9_94374097_94374800",10,38,23,10,19,24,23,7,46
"chr9_94554267_94554766",5,17,14,12,6,13,8,4,24
"chr9_94639557_94640067",9,28,9,10,7,25,10,7,33
"chr9_94649070_94649842",7,37,10,16,15,25,11,2,20
"chr9_94656141_94656695",1,22,19,11,14,13,6,3,26
"chr9_94726300_94726960",10,46,47,14,27,32,22,6,35
"chr9_95462263_95463166",5,30,22,10,9,18,13,8,24
"chr9_95875268_95876402",19,66,39,27,22,25,23,7,41
"chr9_96418201_96419601",34,111,73,29,54,68,55,11,92
"chr9_96449801_96450339",5,37,17,9,26,18,17,2,45
"chr9_97013257_97014040",14,33,22,10,14,23,10,5,23
"chr9_97038910_97039540",11,21,15,6,12,15,11,6,21
"chr9_97238061_97238734",7,35,21,8,11,23,18,9,33
"chr9_97411642_97412177",4,20,15,9,15,14,9,3,21
"chr9_97632847_97633923",23,119,100,39,58,88,58,18,106
"chr9_97697044_97697613",6,24,28,12,15,21,9,5,27
"chr9_97876625_97877195",6,28,13,11,20,26,15,5,39
"chr9_97921949_97922743",20,66,42,19,52,43,28,8,56
"chr9_97982734_97983569",6,38,19,12,20,20,14,6,34
"chr9_98056180_98057176",23,68,54,31,29,42,25,10,57
"chr9_98185362_98186200",7,50,19,13,18,27,9,11,29
"chr9_98192498_98193443",14,40,31,21,18,26,15,5,37
"chr9_98248699_98249276",2,11,17,7,4,13,8,6,15
"chr9_98255450_98256268",15,71,53,30,48,61,33,10,80
"chr9_98575539_98576221",18,44,25,14,35,28,15,10,34
"chr9_99057751_99058349",4,24,16,7,15,15,16,2,21
"chr9_99104423_99105292",12,59,35,24,20,37,11,7,42
"chr9_99221429_99222460",16,77,51,31,26,62,25,8,64
"chr9_99579838_99580396",3,31,33,13,8,19,22,6,41
"chr9_99782862_99783422",3,16,14,4,8,28,12,8,41
"chr9_99819181_99820483",34,158,123,68,76,139,80,24,164
"chr9_99821532_99822076",12,53,54,22,25,30,20,6,44
"chr9_100098784_100099723",38,140,130,62,56,102,68,28,145
"chr9_100352273_100353289",22,51,41,12,18,33,15,3,47
"chr9_100411499_100412145",8,37,28,15,18,17,11,7,35
"chr9_101398332_101398991",55,180,170,71,99,159,103,43,214
"chr9_101478752_101479456",13,25,12,12,16,12,9,6,27
"chr9_101533260_101534084",36,173,134,51,61,121,70,25,152
"chr9_101579813_101580448",3,30,24,11,17,34,23,12,47
"chr9_101585617_101586184",6,35,18,15,26,17,25,11,32
"chr9_101705033_101705550",12,28,17,8,7,16,8,3,19
"chr9_104093656_104094505",37,146,107,38,42,100,49,18,106
"chr9_104747346_104748217",28,98,92,30,42,97,62,17,101
"chr9_104763620_104764645",12,31,30,17,15,39,18,5,35
"chr9_104775278_104775795",11,20,16,11,7,12,9,4,14
"chr9_104868889_104869415",6,28,17,15,6,18,8,10,30
"chr9_104926332_104926879",8,31,15,9,14,22,11,3,37
"chr9_104968013_104968769",6,25,18,15,13,26,16,3,28
"chr9_104990866_104991835",21,46,30,19,21,34,21,9,60
"chr9_105066204_105066776",8,23,7,15,17,18,17,5,33
"chr9_105127725_105128275",11,32,16,10,2,13,17,2,29
"chr9_105191739_105192272",10,29,17,15,7,18,13,2,32
"chr9_105244124_105244760",19,75,64,24,31,59,32,12,71
"chr9_105447674_105448303",11,37,29,13,20,37,19,10,49
"chr9_105557861_105558459",10,24,23,11,11,25,7,4,27
"chr9_105694471_105695441",18,38,31,19,30,38,19,9,50
"chr9_105858194_105858732",3,28,14,10,5,10,8,7,14
"chr9_106307532_106308133",10,23,19,9,9,10,12,3,14
"chr9_106309110_106309268",0,21,17,7,7,5,20,2,19
"chr9_107282769_107283376",32,112,109,54,87,83,70,16,150
"chr9_107615259_107615858",10,24,15,10,8,19,16,7,37
"chr9_107674668_107675290",6,27,24,14,13,20,12,2,27
"chr9_107760510_107761359",9,30,33,15,13,28,18,11,37
"chr9_108156485_108157086",6,26,23,20,18,21,17,7,26
"chr9_108297004_108297560",5,19,13,3,11,12,12,7,20
"chr9_108933795_108934825",14,52,40,21,16,28,25,7,45
"chr9_109119337_109120351",16,59,31,21,29,32,23,10,61
"chr9_110156819_110157453",14,44,21,21,12,21,21,7,36
"chr9_110256320_110257233",19,65,39,34,30,32,35,10,76
"chr9_110875170_110875726",5,26,19,9,13,21,12,2,27
"chr9_111108972_111109473",8,19,13,6,5,14,9,0,20
"chr9_111630910_111631701",16,66,60,24,30,54,23,10,63
"chr9_111896434_111897003",10,25,23,10,11,10,9,5,16
"chr9_112012246_112012871",11,17,16,8,5,11,10,4,11
"chr9_112332853_112334118",18,68,51,38,46,50,30,13,67
"chr9_112379614_112380239",12,48,53,25,39,49,38,11,53
"chr9_112486286_112487340",16,49,22,9,21,25,11,5,26
"chr9_112717823_112718515",17,46,51,16,35,38,22,7,51
"chr9_112751196_112752007",6,14,11,12,13,13,2,2,12
"chr9_113056387_113057003",9,31,19,9,18,23,18,2,35
"chr9_113110928_113111916",15,41,38,17,32,33,16,7,24
"chr9_113112786_113113568",9,32,26,8,9,25,11,7,36
"chr9_113221150_113221678",6,57,40,12,16,41,22,10,56
"chr9_113275282_113275878",15,35,36,9,18,31,21,13,38
"chr9_113340015_113340625",6,27,18,11,14,13,11,6,15
"chr9_113400965_113401753",12,60,50,37,27,59,30,14,51
"chr9_113410092_113410998",17,42,53,15,20,46,25,5,61
"chr9_113580464_113581097",8,26,21,12,8,14,9,12,26
"chr9_114348795_114349473",17,50,37,20,13,30,26,13,47
"chr9_114372839_114373457",14,65,61,25,31,47,34,12,61
"chr9_114385252_114385887",14,39,33,16,18,31,23,8,48
"chr9_114398216_114398930",9,45,19,19,16,21,12,2,32
"chr9_114587189_114588023",13,54,36,18,40,43,27,6,42
"chr9_114953634_114954397",11,26,14,12,14,13,20,2,19
"chr9_114957946_114958937",12,59,34,26,20,34,22,7,48
"chr9_114995689_114996247",5,13,16,7,4,15,5,6,14
"chr9_115035641_115036280",5,30,18,6,14,22,20,7,15
"chr9_115591441_115591940",3,12,11,4,11,7,6,4,11
"chr9_116548988_116549776",16,39,42,20,11,48,24,7,49
"chr9_116945746_116946281",13,26,29,5,13,14,12,3,21
"chr9_117644503_117645097",5,26,21,9,10,19,13,11,32
"chr9_117681762_117682300",6,23,25,13,11,19,6,4,28
"chr9_117703960_117704684",13,47,30,17,16,40,19,5,50
"chr9_117717971_117718592",2,35,28,9,19,23,17,6,45
"chr9_117725182_117725941",8,51,53,11,15,36,27,8,57
"chr9_117825899_117826465",7,29,27,12,18,27,11,0,39
"chr9_119968639_119969547",11,37,27,9,17,13,8,7,23
"chr9_120579928_120580559",5,33,38,14,18,38,19,12,49
"chr9_120714310_120714925",16,50,54,20,37,50,36,7,67
"chr9_120734644_120735894",7,24,25,17,17,23,19,5,39
