Chromosome/scaffold name	Gene name	Gene % GC content	Entrezgene	Gene start (bp)	Gene end (bp)	 type
18	WBP11P1	44.62	441818	32511663	32514634	lncRNA
HSCHR19LRC_COX1_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19LRC_COX2_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19LRC_LRC_S_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19LRC_LRC_T_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19LRC_LRC_I_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19LRC_LRC_J_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19LRC_PGF2_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19LRC_PGF1_CTG3_1	TARM1	49.32	441864	44314	55747	protein_coding
HSCHR19_4_CTG3_1	TARM1	49.32	441864	44262	55747	protein_coding
19	TARM1	49.53	441864	54069895	54081365	protein_coding
1	ANKRD65	66.51	441869	1418420	1421769	protein_coding
20	ZFAS1	45.68	441951	49278178	49299600	lncRNA
4	GALNTL6	36.53	442117	171812254	173041559	protein_coding
7	ZNF727	37.48	442319	64045434	64085339	protein_coding
9	PTGER4P2-CDK2AP2P2	39.17	442421	41276280	41282846	lncRNA
7		60.70	442497	379359	382712	lncRNA
7	DPY19L2P4	36.65	442523	90119358	90128866	lncRNA
7	DPY19L2P3	35.72	442524	29684642	29742417	lncRNA
7	SPDYE5	49.05	442590	75492320	75504316	protein_coding
7	LMOD2	42.42	442721	123655866	123664290	protein_coding
Y	PRY2	41.48	442862	22071756	22096007	protein_coding
17	MIR324	61.45	442898	7223297	7223379	miRNA
12	MIR331	51.06	442903	95308420	95308513	miRNA
14	MIR342	49.49	442909	100109655	100109753	miRNA
19	MIR371A	52.24	442916	53787675	53787741	miRNA
19	MIR372	50.75	442917	53787890	53787956	miRNA
19	MIR373	50.72	442918	53788705	53788773	miRNA
2	MYO1B	39.67	4430	191245185	191425389	protein_coding
X	CITED1	56.77	4435	72301638	72307187	protein_coding
2	MSH2	45.38	4436	47403067	47663146	protein_coding
5	MSH3	38.02	4437	80654652	80876815	protein_coding
1	MSH4	37.01	4438	75796882	75913242	protein_coding
HSCHR6_MHC_DBB_CTG1	MSH5	48.36	4439	2987757	3010450	protein_coding
HSCHR6_MHC_COX_CTG1	MSH5	48.40	4439	3217271	3239933	protein_coding
HSCHR6_MHC_MANN_CTG1	MSH5	49.26	4439	3045038	3052473	protein_coding
HSCHR6_MHC_APD_CTG1	MSH5	51.49	4439	3089204	3095756	protein_coding
HSCHR6_MHC_MCF_CTG1	MSH5	48.55	4439	3081867	3105033	protein_coding
HSCHR6_MHC_QBL_CTG1	MSH5	48.40	4439	2995810	3017580	protein_coding
HSCHR6_MHC_SSTO_CTG1	MSH5	51.58	4439	3039288	3061968	protein_coding
6	MSH5	48.58	4439	31739677	31762676	protein_coding
8	ASPH	38.17	444	61500556	61714640	protein_coding
19	IGFL4	41.64	444882	46039182	46077118	protein_coding
9	ASS1	55.65	445	130444961	130501274	protein_coding
HSCHR7_3_CTG4_4	ARHGEF35	53.99	445328	141497	142948	protein_coding
7	ARHGEF35	45.98	445328	144186083	144195879	protein_coding
16	SULT1A4	55.98	445329	29459913	29464966	protein_coding
7	TRGC1	38.69	445347	38257879	38265678	TR_C_gene
7	TARP	36.53	445347	38259643	38273636	protein_coding
11	TRIM6-TRIM34	41.99	445372	5596725	5644398	protein_coding
9	ZNG1C	36.18	445571	68232003	68300035	protein_coding
2	POTEE	38.96	445582	131209536	131265278	protein_coding
9	PALM2AKAP2	41.98	445815	109498325	110172512	protein_coding
X	MSN	44.63	4478	65588377	65741931	protein_coding
8	MSR1	35.52	4481	16107878	16567490	protein_coding
HG76_PATCH	MSRA	43.56	4482	2918137	3294116	protein_coding
8	MSRA	43.55	4482	10054292	10428891	protein_coding
3	MST1	60.67	4485	49683947	49689501	protein_coding
3	MST1R	55.84	4486	49887002	49903873	protein_coding
4	MSX1	56.95	4487	4859665	4863936	protein_coding
16	MT1E	57.57	4493	56625475	56627112	protein_coding
16	MT1F	51.79	4494	56657731	56660698	protein_coding
6	GGNBP1	50.50	449520	33540046	33589026	lncRNA
16	MT1X	53.73	4501	56682470	56684196	protein_coding
16	MT2A	54.16	4502	56608584	56609497	protein_coding
9	MTAP	40.07	4507	21802636	21937651	protein_coding
MT	MT-ATP6	44.20	4508	8527	9207	protein_coding
MT	MT-ATP8	39.61	4509	8366	8572	protein_coding
MT	MT-CO1	46.24	4512	5904	7445	protein_coding
MT	MT-CO2	46.20	4513	7586	8269	protein_coding
MT	MT-CO3	46.56	4514	9207	9990	protein_coding
X	MTCP1	38.73	4515	155064034	155147937	protein_coding
MT	MT-CYB	46.28	4519	14747	15887	protein_coding
1	MTF1	43.60	4520	37809574	37859592	protein_coding
7	NUDT1	56.76	4521	2242226	2251146	protein_coding
14	MTHFD1	43.75	4522	64388031	64463457	protein_coding
1	MTHFR	54.64	4524	11785723	11806455	protein_coding
2	MTIF2	39.60	4528	55236595	55269347	protein_coding
X	MTM1	39.78	4534	150568417	150673143	protein_coding
MT	MT-ND1	47.70	4535	3307	4262	protein_coding
MT	MT-ND2	42.99	4536	4470	5511	protein_coding
MT	MT-ND3	40.17	4537	10059	10404	protein_coding
MT	MT-ND4	44.27	4538	10760	12137	protein_coding
MT	MT-ND4L	43.10	4539	10470	10766	protein_coding
MT	MT-ND5	44.92	4540	12337	14148	protein_coding
MT	MT-ND6	42.67	4541	14149	14673	protein_coding
19	MYO1F	52.54	4542	8520778	8577442	protein_coding
1	MTR	40.64	4548	236795260	236921278	protein_coding
5	MTRR	39.80	4552	7851186	7906025	protein_coding
1	MTX1	55.89	4580	155208695	155213824	protein_coding
1	MUC1	68.01	4582	155185824	155192916	protein_coding
HSCHR3_3_CTG3	MUC4	56.06	4585	3239	47971	protein_coding
HSCHR3_5_CTG3	MUC4	56.06	4585	3235	47969	protein_coding
HSCHR3_8_CTG3	MUC4	56.06	4585	3239	47971	protein_coding
HSCHR3_7_CTG3	MUC4	56.06	4585	3235	47969	protein_coding
HSCHR3_1_CTG3	MUC4	54.11	4585	117262	190097	protein_coding
HSCHR3_4_CTG3	MUC4	56.37	4585	3235	49270	protein_coding
HSCHR3_6_CTG3	MUC4	53.82	4585	117673	181676	unprocessed_pseudogene
3	MUC4	53.71	4585	195746765	195811973	protein_coding
HSCHR11_2_CTG1	MUC6	61.67	4588	75564	106271	protein_coding
HSCHR11_3_CTG1	MUC6	62.11	4588	82412	111099	protein_coding
11	MUC6	63.40	4588	1012823	1036718	protein_coding
17	TRIM37	39.71	4591	58982638	59106921	protein_coding
9	MUSK	36.28	4593	110668779	110806558	protein_coding
6	MMUT	34.47	4594	49430360	49463253	protein_coding
1	MUTYH	51.04	4595	45329163	45340893	protein_coding
16	MVD	59.29	4597	88651935	88663161	protein_coding
12	MVK	52.45	4598	109573255	109598125	protein_coding
21	MX1	47.98	4599	41420020	41470071	protein_coding
21	MX2	49.70	4600	41361999	41409393	protein_coding
10	MXI1	40.13	4601	110207605	110287365	protein_coding
6	MYB	39.73	4602	135181308	135219173	protein_coding
8	MYBL1	36.72	4603	66562175	66614247	protein_coding
12	MYBPC1	38.13	4604	101568353	101686028	protein_coding
20	MYBL2	49.88	4605	43667019	43716495	protein_coding
19	MYBPC2	53.78	4606	50432892	50466321	protein_coding
11	MYBPC3	57.91	4607	47331406	47352702	protein_coding
1	MYBPH	57.63	4608	203167811	203175826	protein_coding
8	MYC	51.53	4609	127735434	127742951	protein_coding
1	MYCL	53.68	4610	39895428	39902256	protein_coding
2	MYCN	53.76	4613	15940550	15947007	protein_coding
3	MYD88	54.24	4615	38138552	38143024	protein_coding
19	GADD45B	60.24	4616	2476122	2478259	protein_coding
1	SERPINC1	46.27	462	173903800	173917327	protein_coding
17	MYH3	48.63	4621	10628526	10657309	protein_coding
22	MYH9	52.37	4627	36281280	36388010	protein_coding
17	MYH10	42.11	4628	8474207	8631376	protein_coding
HSCHR16_1_CTG1	MYH11	48.17	4629	1361183	1515026	protein_coding
16	MYH11	48.16	4629	15703135	15857028	protein_coding
16	ZFHX3	43.39	463	72782885	73891871	protein_coding
17	MYL4	45.91	4635	47200446	47223679	protein_coding
4	MYL5	65.53	4636	673580	682028	protein_coding
12	MYL6	51.25	4637	56158346	56163496	protein_coding
3	MYLK	45.34	4638	123610049	123884332	protein_coding
12	MYO1A	48.63	4640	57028517	57051198	protein_coding
17	MYO1C	60.08	4641	1464186	1492686	protein_coding
17	MYO1D	40.83	4642	32492522	32877177	protein_coding
15	MYO1E	43.51	4643	59132434	59372871	protein_coding
15	MYO5A	39.93	4644	52307281	52529132	protein_coding
18	MYO5B	44.50	4645	49822789	50195164	protein_coding
6	MYO6	37.66	4646	75749201	75919537	protein_coding
11	MYO7A	55.05	4647	77128246	77215241	protein_coding
2	MYO7B	51.03	4648	127535683	127637729	protein_coding
15	MYO9A	37.93	4649	71822291	72118577	protein_coding
19	MYO9B	52.36	4650	17075777	17214537	protein_coding
5	MYO10	44.10	4651	16661907	16936288	protein_coding
12	PPP1R12A	36.07	4659	79773563	79935460	protein_coding
12	ATF1	41.92	466	50763710	50821162	protein_coding
1	PPP1R12B	39.63	4660	202348699	202592706	protein_coding
HSCHR20_1_CTG3	MYT1	54.58	4661	60383	150844	protein_coding
20	MYT1	54.42	4661	64102394	64242253	protein_coding
2	NAB1	37.70	4664	190646746	190692766	protein_coding
12	NAB2	59.71	4665	57089043	57095476	protein_coding
12	NACA	47.53	4666	56712305	56731628	protein_coding
22	NAGA	53.26	4668	42058334	42070842	protein_coding
17	NAGLU	56.84	4669	42536241	42544449	protein_coding
1	ATF3	43.16	467	212565334	212620777	protein_coding
19	HNRNPM	46.68	4670	8444767	8489114	protein_coding
HSCHR5_1_CTG1_1	NAIP	43.19	4671	516878	573494	protein_coding
HSCHR5_2_CTG1_1	NAIP	43.19	4671	385732	442341	protein_coding
5	NAIP	43.17	4671	70968166	71025339	protein_coding
12	NAP1L1	37.01	4673	76036585	76084735	protein_coding
X	NAP1L2	40.34	4674	73212299	73214851	protein_coding
X	NAP1L3	42.36	4675	93670930	93673578	protein_coding
HSCHR11_1_CTG7	NAP1L4	44.27	4676	175479	223447	protein_coding
11	NAP1L4	44.27	4676	2944431	2992377	protein_coding
18	NARS1	42.81	4677	57600656	57622213	protein_coding
1	NASP	42.90	4678	45583846	45618904	protein_coding
22	ATF4	58.95	468	39519695	39522683	protein_coding
19	CEACAM6	45.91	4680	41750977	41772211	protein_coding
1	NBL1	47.57	4681	19596979	19658456	protein_coding
16	NUBP1	50.62	4682	10743786	10769351	protein_coding
8	NBN	37.00	4683	89924515	90003228	protein_coding
11	NCAM1	41.70	4684	112961275	113278436	protein_coding
21	NCAM2	34.02	4685	20998409	21543329	protein_coding
9	NCBP1	37.74	4686	97633668	97673748	protein_coding
1	NCF2	46.35	4688	183554461	183590905	protein_coding
22	NCF4	53.40	4689	36860988	36878017	protein_coding
HSCHR22_1_CTG5	NCF4	53.23	4689	81782	101331	protein_coding
3	NCK1	39.32	4690	136862208	136951606	protein_coding
2	NCL	47.89	4691	231453531	231483641	protein_coding
HG2365_PATCH	NDN	66.16	4692	4634304	4635027	protein_coding
15	NDN	52.15	4692	23685400	23687305	protein_coding
X	NDUFA1	42.08	4694	119871832	119876662	protein_coding
5	NDUFA2	50.91	4695	140638740	140647771	protein_coding
HSCHR19LRC_COX1_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19LRC_COX2_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19LRC_LRC_S_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19LRC_LRC_I_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19LRC_LRC_T_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19LRC_PGF2_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19LRC_LRC_J_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19LRC_PGF1_CTG3_1	NDUFA3	53.97	4696	77273	81393	protein_coding
HSCHR19_4_CTG3_1	NDUFA3	55.15	4696	77149	83146	protein_coding
19	NDUFA3	54.99	4696	54102728	54109257	protein_coding
7	NDUFA4	37.54	4697	10931943	10940153	protein_coding
7	NDUFA5	35.56	4698	123536997	123557904	protein_coding
17	ACLY	49.89	47	41866917	41930542	protein_coding
HSCHR22_1_CTG1	NDUFA6	48.79	4700	7870	13300	protein_coding
HSCHR22_3_CTG1	NDUFA6	48.79	4700	7870	13300	protein_coding
HSCHR22_2_CTG1	NDUFA6	48.79	4700	7870	13300	protein_coding
HSCHR22_4_CTG1	NDUFA6	48.32	4700	477	5733	protein_coding
22	NDUFA6	48.65	4700	42085526	42090884	protein_coding
19	NDUFA7	52.34	4701	8308768	8321375	protein_coding
9	NDUFA8	41.44	4702	122144058	122159779	protein_coding
2	NEB	38.81	4703	151485336	151734487	protein_coding
12	NDUFA9	39.57	4704	4649095	4694317	protein_coding
2	NDUFA10	48.49	4705	239892450	240025743	protein_coding
16	NDUFAB1	48.72	4706	23581014	23596316	protein_coding
14	NDUFB1	44.20	4707	92116122	92121917	protein_coding
7	NDUFB2	43.57	4708	140690777	140722790	protein_coding
2	NDUFB3	41.49	4709	201071433	201085750	protein_coding
2	ATIC	41.05	471	215311956	215349773	protein_coding
3	NDUFB4	39.34	4710	120596328	120602507	protein_coding
3	NDUFB5	39.72	4711	179604690	179627647	protein_coding
9	NDUFB6	41.42	4712	32553001	32573184	protein_coding
19	NDUFB7	57.47	4713	14566078	14572066	protein_coding
10	NDUFB8	47.71	4714	100523740	100530000	protein_coding
8	NDUFB9	45.43	4715	124539101	124580648	protein_coding
HG401_PATCH	NDUFB10	58.74	4716	25686	28123	protein_coding
16	NDUFB10	58.74	4716	1959538	1961975	protein_coding
4	NDUFC1	42.39	4717	139266880	139302551	protein_coding
11	NDUFC2	44.35	4718	78068297	78079862	protein_coding
HSCHR2_6_CTG7_2	NDUFS1	40.76	4719	223835	268527	protein_coding
2	NDUFS1	40.76	4719	206114817	206159509	protein_coding
11	ATM	37.47	472	108222823	108369102	protein_coding
1	NDUFS2	49.67	4720	161197104	161214723	protein_coding
11	NDUFS3	48.67	4722	47565336	47584562	protein_coding
11	NDUFV1	56.20	4723	67605653	67612554	protein_coding
5	NDUFS4	36.57	4724	53560633	53683338	protein_coding
1	NDUFS5	46.54	4725	39026318	39034636	protein_coding
5	NDUFS6	48.31	4726	1801407	1816048	protein_coding
11	NDUFS8	57.63	4728	68030617	68036644	protein_coding
18	NDUFV2	37.35	4729	9102630	9134345	protein_coding
1	RERE	42.21	473	8352397	8848921	protein_coding
21	NDUFV3	46.83	4731	42879644	42913304	protein_coding
22	DRG1	44.40	4733	31399604	31530634	protein_coding
15	NEDD4	38.49	4734	55826922	55993660	protein_coding
2	SEPTIN2	41.89	4735	241315100	241354027	protein_coding
6	RPL10A	56.98	4736	35468401	35470785	protein_coding
HG1_PATCH	NEDD8	43.50	4738	517835	533345	protein_coding
14	NEDD8	43.50	4738	24216857	24232367	protein_coding
6	NEDD9	43.09	4739	11183298	11382348	protein_coding
8	NEFM	48.49	4741	24913758	24919098	protein_coding
HSCHR17_1_CTG5	LRRC37A2	42.55	474170	195712	241065	protein_coding
HSCHR17_2_CTG5	NSFP1	38.22	474170	1110453	1224280	unprocessed_pseudogene
HSCHR17_1_CTG5	NSFP1	38.30	474170	264219	378518	unprocessed_pseudogene
HSCHR17_2_CTG5	LRRC37A2	42.48	474170	1030000	1075355	protein_coding
17	NSFP1	38.29	474170	46372855	46487141	unprocessed_pseudogene
17	LRRC37A2	42.81	474170	46511508	46556910	protein_coding
X	SPIN2B	51.43	474343	57118551	57121548	protein_coding
7	GIMAP6	49.01	474344	150625375	150632648	protein_coding
10	LRRC18	43.91	474354	48909480	48939840	protein_coding
X	F8A2	64.79	474383	155382095	155383801	protein_coding
X	F8A3	64.79	474384	155456914	155458620	protein_coding
22	NEFH	52.84	4744	29480218	29491390	protein_coding
8	NEFL	44.30	4747	24950955	24956721	protein_coding
5	ATOX1	46.30	475	151742316	151772532	protein_coding
4	NEK1	37.34	4750	169369704	169612632	protein_coding
1	NEK2	39.50	4751	211658657	211675630	protein_coding
13	NEK3	39.57	4752	52132639	52159597	protein_coding
12	NELL2	36.23	4753	44508275	44921848	protein_coding
15	NEO1	38.73	4756	73051710	73305205	protein_coding
HSCHR6_MHC_DBB_CTG1	NEU1	52.86	4758	3105437	3110684	protein_coding
HSCHR6_MHC_COX_CTG1	NEU1	52.81	4758	3335076	3340324	protein_coding
HSCHR6_MHC_MANN_CTG1	NEU1	52.86	4758	3162875	3168122	protein_coding
HSCHR6_MHC_APD_CTG1	NEU1	52.86	4758	3190275	3195522	protein_coding
HSCHR6_MHC_QBL_CTG1	NEU1	52.86	4758	3113631	3118878	protein_coding
HSCHR6_MHC_MCF_CTG1	NEU1	52.86	4758	3199729	3204976	protein_coding
HSCHR6_MHC_SSTO_CTG1	NEU1	52.81	4758	3158886	3164159	protein_coding
6	NEU1	52.85	4758	31857659	31862905	protein_coding
1	ATP1A1	44.46	476	116372668	116410261	protein_coding
17	NF1	37.62	4763	31094927	31382116	protein_coding
1	ATP1A2	50.38	477	160115759	160143591	protein_coding
22	NF2	45.79	4771	29603556	29698598	protein_coding
18	NFATC1	56.87	4772	79395856	79529325	protein_coding
20	NFATC2	47.94	4773	51386957	51562831	protein_coding
1	NFIA	40.05	4774	60865259	61462788	protein_coding
16	NFATC3	41.53	4775	68084751	68229259	protein_coding
HG1_PATCH	NFATC4	56.84	4776	666651	680582	protein_coding
14	NFATC4	56.84	4776	24365673	24379604	protein_coding
12	NFE2	51.75	4778	54292111	54301015	protein_coding
17	NFE2L1	54.26	4779	48048329	48061545	protein_coding
19	ATP1A3	56.13	478	41966582	41997497	protein_coding
2	NFE2L2	40.45	4780	177218667	177392756	protein_coding
9	NFIB	38.29	4781	14081843	14398983	protein_coding
19	NFIC	55.09	4782	3314403	3469217	protein_coding
9	NFIL3	41.89	4783	91409045	91423832	protein_coding
19	NFIX	55.31	4784	12995475	13098796	protein_coding
4	NFKB1	37.86	4790	102501330	102617302	protein_coding
10	NFKB2	61.37	4791	102394110	102402524	protein_coding
14	NFKBIA	55.82	4792	35401079	35404749	protein_coding
HG26_PATCH	NFKBIB	50.76	4793	309372	318565	protein_coding
19	NFKBIB	50.76	4793	38899700	38908893	protein_coding
6	NFKBIE	55.92	4794	44258166	44265788	protein_coding
HSCHR6_MHC_DBB_CTG1	NFKBIL1	48.07	4795	2794636	2806586	protein_coding
HSCHR6_MHC_MANN_CTG1	NFKBIL1	48.09	4795	2851919	2863876	protein_coding
HSCHR6_MHC_COX_CTG1	NFKBIL1	48.08	4795	3024196	3036142	protein_coding
HSCHR6_MHC_MCF_CTG1	NFKBIL1	48.08	4795	2888805	2900754	protein_coding
HSCHR6_MHC_QBL_CTG1	NFKBIL1	48.09	4795	2802722	2814673	protein_coding
HSCHR6_MHC_SSTO_CTG1	NFKBIL1	48.10	4795	2846154	2858110	protein_coding
6	NFKBIL1	48.10	4795	31546870	31558829	protein_coding
8	TONSL	62.90	4796	144428775	144444440	protein_coding
11	NFRKB	45.40	4798	129863636	129895590	protein_coding
9	NFX1	42.57	4799	33290512	33371157	protein_coding
9	ACO1	41.71	48	32384603	32454769	protein_coding
1	ATP1A4	45.76	480	160151586	160186980	protein_coding
6	NFYA	40.69	4800	41072974	41102403	protein_coding
12	NFYB	39.11	4801	104117086	104138241	protein_coding
1	NFYC	42.65	4802	40691648	40771603	protein_coding
17	NGFR	56.75	4804	49495293	49515008	protein_coding
1	NHLH1	50.10	4807	160367071	160372846	protein_coding
1	NHLH2	46.33	4808	115836377	115843917	protein_coding
22	SNU13	46.80	4809	41673933	41690504	protein_coding
1	ATP1B1	37.70	481	169105697	169310992	protein_coding
X	NHS	42.35	4810	17375200	17735994	protein_coding
1	NID1	44.97	4811	235975830	236065109	protein_coding
9	NINJ1	59.63	4814	93121496	93134251	protein_coding
12	NINJ2	48.05	4815	564296	663589	protein_coding
1	NIT1	49.13	4817	161118086	161125445	protein_coding
19	NKG7	59.03	4818	51371606	51372701	protein_coding
17	ATP1B2	54.22	482	7646627	7657770	protein_coding
3	NKTR	37.52	4820	42600655	42648735	protein_coding
8	NKX3-1	49.36	4824	23678697	23682938	protein_coding
20	NNAT	54.16	4826	37521206	37523690	protein_coding
HG2280_PATCH	NMB	56.33	4828	1146975	1150409	protein_coding
15	NMB	56.33	4828	84655129	84658563	protein_coding
3	ATP1B3	40.60	483	141876124	141926549	protein_coding
17	NME1	46.38	4830	51153559	51162428	protein_coding
17	NME2	52.09	4831	51165435	51171744	protein_coding
16	NME3	69.24	4832	1770320	1771561	protein_coding
16	NME4	58.71	4833	396725	410367	protein_coding
6	NQO2	46.72	4835	2987987	3019755	protein_coding
17	NMT1	51.44	4836	44957992	45109016	protein_coding
11	NNMT	43.32	4837	114257787	114313536	protein_coding
10	NODAL	51.27	4838	70431936	70447951	protein_coding
12	NOP2	49.45	4839	6556863	6568691	protein_coding
X	NONO	45.49	4841	71254814	71301522	protein_coding
17	NOS2	51.35	4843	27756766	27800529	protein_coding
7	NOS3	57.59	4846	150991017	151014588	protein_coding
12	CNOT2	35.15	4848	70243002	70354993	protein_coding
HSCHR19LRC_COX1_CTG3_1	CNOT3	57.88	4849	112549	130557	protein_coding
HSCHR19LRC_COX2_CTG3_1	CNOT3	57.88	4849	112549	130558	protein_coding
HSCHR19LRC_LRC_S_CTG3_1	CNOT3	57.88	4849	112549	130558	protein_coding
HSCHR19LRC_LRC_T_CTG3_1	CNOT3	57.88	4849	112549	130558	protein_coding
HSCHR19LRC_LRC_I_CTG3_1	CNOT3	57.88	4849	112549	130558	protein_coding
HSCHR19LRC_LRC_J_CTG3_1	CNOT3	57.88	4849	112549	130558	protein_coding
HSCHR19LRC_PGF2_CTG3_1	CNOT3	57.88	4849	112549	130558	protein_coding
HSCHR19LRC_PGF1_CTG3_1	CNOT3	57.89	4849	112549	130558	protein_coding
HSCHR19_4_CTG3_1	CNOT3	57.87	4849	112557	130532	protein_coding
19	CNOT3	57.90	4849	54137749	54155681	protein_coding
7	CNOT4	37.19	4850	135361795	135510145	protein_coding
9	NOTCH1	63.46	4851	136494433	136546048	protein_coding
1	NOTCH2	40.00	4853	119911553	120100779	protein_coding
19	NOTCH3	54.88	4854	15159038	15200995	protein_coding
HSCHR6_MHC_MANN_CTG1	NOTCH4	51.76	4855	3499821	3529069	protein_coding
HSCHR6_MHC_COX_CTG1	NOTCH4	51.81	4855	3633192	3662414	protein_coding
HSCHR6_MHC_APD_CTG1	NOTCH4	54.34	4855	3527442	3536999	protein_coding
HSCHR6_MHC_MCF_CTG1	NOTCH4	51.76	4855	3536859	3566106	protein_coding
HSCHR6_MHC_QBL_CTG1	NOTCH4	51.80	4855	3418042	3447269	protein_coding
HSCHR6_MHC_SSTO_CTG1	NOTCH4	51.80	4855	3511048	3540275	protein_coding
6	NOTCH4	51.81	4855	32194843	32224067	protein_coding
8	CCN3	41.69	4856	119416446	119424434	protein_coding
11	FXYD2	51.98	486	117800844	117828698	protein_coding
HG2526_HG2573_PATCH	PNP	44.72	4860	664673	679775	protein_coding
14	PNP	44.72	4860	20461992	20477094	protein_coding
19	NPAS1	55.35	4861	47019837	47045775	protein_coding
2	NPAS2	45.84	4862	100820139	100996829	protein_coding
11	NPAT	40.27	4863	108157215	108222638	protein_coding
18	NPC1	44.65	4864	23506184	23586506	protein_coding
2	NPHP1	39.53	4867	110122311	110205066	protein_coding
5	NPM1	43.58	4869	171387116	171411810	protein_coding
16	ATP2A1	54.02	487	28878405	28904466	protein_coding
1	NPPA	54.04	4878	11845709	11848345	protein_coding
12	ATP2A2	43.42	488	110280756	110351093	protein_coding
9	NPR2	49.66	4882	35791003	35809732	protein_coding
5	NPR3	40.83	4883	32689070	32791724	protein_coding
17	NPTX1	59.94	4884	80466834	80477843	protein_coding
7	NPTX2	54.64	4885	98617285	98629869	protein_coding
5	NPY6R	39.42	4888	137801193	137810755	lncRNA
17	ATP2A3	56.90	489	3923870	3964464	protein_coding
12	SLC11A2	43.54	4891	50979401	51028566	protein_coding
1	NRAS	38.66	4893	114704469	114716771	protein_coding
7	NRCAM	39.00	4897	108147623	108456717	protein_coding
1	NRDC	39.33	4898	51789191	51878805	protein_coding
7	NRF1	41.14	4899	129611720	129757082	protein_coding
12	ATP2B1	36.39	490	89588049	89709366	protein_coding
11	NRGN	53.05	4900	124739942	124747210	protein_coding
HG1_PATCH	NRL	49.83	4901	381085	415992	protein_coding
14	NRL	49.87	4901	24078662	24115010	protein_coding
1	YBX1	40.63	4904	42682418	42703805	protein_coding
HSCHR17_2_CTG5	NSF	38.59	4905	1110346	1276876	protein_coding
HSCHR17_1_CTG5	NSF	38.61	4905	1576739	1743341	protein_coding
17	NSF	38.61	4905	46590669	46757679	protein_coding
6	NT5E	43.07	4907	85449584	85495791	protein_coding
3	ATP2B2	49.60	491	10324023	10708007	protein_coding
16	NTHL1	61.44	4913	2039815	2047866	protein_coding
1	NTRK1	53.11	4914	156815636	156881850	protein_coding
9	NTRK2	41.07	4915	84668375	85095751	protein_coding
1	ROR1	40.97	4919	63774017	64181498	protein_coding
X	ATP2B3	58.22	492	153517642	153582939	protein_coding
9	ROR2	44.96	4920	91563091	91950228	protein_coding
1	DDR2	40.47	4921	162631373	162787405	protein_coding
20	NTSR1	55.17	4923	62708836	62762771	protein_coding
5	IGIP	35.50	492311	140125937	140129392	protein_coding
19	NUCB1	52.80	4924	48900050	48923473	protein_coding
11	NUCB2	41.44	4925	17208153	17349980	protein_coding
11	NUMA1	46.62	4926	72002864	72080693	protein_coding
17	NUP88	42.72	4927	5359668	5420164	protein_coding
11	NUP98	41.69	4928	3671083	3797792	protein_coding
2	NR4A2	45.15	4929	156324437	156342348	protein_coding
1	ATP2B4	46.47	493	203626832	203744081	protein_coding
1	NVL	41.56	4931	224227334	224330189	protein_coding
X	GPR143	47.19	4935	9725346	9786297	protein_coding
2	COA5	42.89	493753	98599314	98608515	protein_coding
12	OAS1	43.14	4938	112905856	112933219	protein_coding
HSCHR6_1_CTG1	HCG11	41.73	493812	67889	73584	lncRNA
6	HCG11	41.73	493812	26521709	26527404	lncRNA
16	TRIM72	54.89	493829	31214119	31231537	protein_coding
4	CISD2	38.96	493856	102868974	102892807	protein_coding
11	CCDC73	37.38	493860	32602721	32794662	protein_coding
12	EID3	44.72	493861	104303739	104305205	protein_coding
12	OAS2	43.81	4939	112978395	113011723	protein_coding
11	TMEM9B-AS1	44.13	493900	8964502	8977527	lncRNA
2	PHOSPHO2	37.24	493911	169694454	169701708	protein_coding
9	PAPPA-AS1	39.47	493913	116398157	116400606	lncRNA
12	OAS3	46.81	4940	112938051	112976460	protein_coding
1	RBMXL1	41.18	494115	88979456	88992960	protein_coding
2	CHAC2	39.04	494143	53767804	53775196	protein_coding
10	OAT	42.49	4942	124397303	124418976	protein_coding
X	TBC1D25	47.97	4943	48539714	48562609	protein_coding
3	MIR425	57.47	494337	49020148	49020234	miRNA
18	ARK2C	49.03	494470	46326809	46463140	protein_coding
2	PJVK	39.63	494513	178451346	178462102	protein_coding
HSCHR7_1_CTG6	WEE2	39.70	494551	80953	103871	protein_coding
7	WEE2	39.70	494551	141708353	141731271	protein_coding
19	OAZ1	64.06	4946	2269509	2273490	protein_coding
15	OAZ2	47.83	4947	64687573	64703281	protein_coding
15	OCA2	43.49	4948	27754875	28099315	protein_coding
